AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0000;0.0000;False;False;81.0092;81.0092;-0.0027;-0.0027;-75.1205;-75.1205;359.8681;359.8681;273.3849;273.3849;0.1469;0.1469; ; ; ; ; ; ;414275;71.72197;3918.36;80.8389;-87.3230;1.2062;1.1456;-75.4961;-85.1859;352.3740;352.5386;276.9904;82.5757;359.6668;359.2946;;;HandLeft_(-0.2, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.2)_0.9037612_System.String[];HandLeft_(-0.2, -0.3, -0.4)_(-0.6, -0.4, 0.6, 0.3)_0.9574593_System.String[];HandRight_(0.1, -0.4, -0.3)_(0.0, -0.7, -0.5, 0.6)_0.9037612_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.0, -0.5, -0.5, 0.7)_0.9574593_System.String[];0.0000;0.0217;0.0120
0.0000;0.0000;False;False;81.0092;81.0092;-0.0027;-0.0027;-75.1206;-75.1206;359.8682;359.8682;273.3881;273.3881;0.1460;0.1460;-0.0002;0.0000;0.0000;-0.0013;-0.0013;-0.0002;414280;67.92191;3918.44;80.8389;-87.3230;1.2062;1.1456;-75.4961;-85.1859;352.3741;352.5385;276.9931;82.5753;359.6660;359.2946;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.2)_0.9037612_System.String[];HandLeft_(-0.2, -0.3, -0.4)_(-0.6, -0.5, 0.6, 0.3)_0.9574593_System.String[];HandRight_(0.1, -0.4, -0.3)_(0.0, -0.7, -0.5, 0.6)_0.9037612_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.1, -0.5, -0.5, 0.7)_0.9574593_System.String[];0.0793;0.0217;0.0120
0.0000;0.0000;False;False;81.0093;81.0093;-0.0027;-0.0027;-75.1207;-75.1207;359.8683;359.8683;273.3914;273.3914;0.1459;0.1459;0.0003;0.0000;0.0000;-0.0014;-0.0014;0.0003;414285;70.50364;3918.51;80.8390;-87.3230;1.2062;1.1456;-75.4962;-85.1859;352.3742;352.5387;276.9963;82.5743;359.6658;359.2947;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.2)_0.9037612_System.String[];HandLeft_(-0.2, -0.3, -0.4)_(-0.6, -0.5, 0.6, 0.3)_0.9574593_System.String[];HandRight_(0.1, -0.4, -0.3)_(0.0, -0.6, -0.5, 0.6)_0.9037612_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.1, -0.5, -0.5, 0.7)_0.9574593_System.String[];0.1489;0.0217;0.0120
0.0000;0.0000;False;False;81.0094;81.0094;-0.0027;-0.0027;-75.1208;-75.1208;359.8683;359.8683;273.3955;273.3955;0.1460;0.1460;0.0027;0.0000;0.0000;-0.0016;-0.0016;0.0027;414290;71.26337;3918.58;80.8390;-87.3230;1.2062;1.1456;-75.4963;-85.1859;352.3741;352.5385;277.0000;82.5727;359.6659;359.2946;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.2)_0.9037612_System.String[];HandLeft_(-0.2, -0.3, -0.4)_(-0.6, -0.5, 0.6, 0.3)_0.9574593_System.String[];HandRight_(0.1, -0.4, -0.3)_(0.0, -0.6, -0.5, 0.6)_0.9037612_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.1, -0.5, -0.5, 0.7)_0.9574593_System.String[];0.2188;0.0217;0.0120
0.0000;0.0000;False;False;81.0095;81.0095;-0.0027;-0.0027;-75.1209;-75.1209;359.8684;359.8684;273.3981;273.3981;0.1461;0.1461;0.0026;0.0000;0.0000;-0.0016;-0.0016;0.0026;414295;71.32096;3918.65;80.8391;-87.3229;1.2062;1.1456;-75.4964;-85.1859;352.3742;352.5385;277.0034;82.5719;359.6660;359.2946;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.2)_0.9037612_System.String[];HandLeft_(-0.2, -0.3, -0.4)_(-0.6, -0.5, 0.6, 0.3)_0.9574593_System.String[];HandRight_(0.1, -0.4, -0.3)_(0.0, -0.7, -0.5, 0.6)_0.9037612_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.2, -0.5, -0.5, 0.7)_0.9574593_System.String[];0.2886;0.0217;0.0120
0.0000;0.0000;False;False;81.0097;81.0097;-0.0027;-0.0027;-75.1210;-75.1210;359.8683;359.8683;273.4016;273.4016;0.1462;0.1462;0.0020;0.0000;0.0000;-0.0015;-0.0015;0.0020;414300;71.64007;3918.72;80.8393;-87.3229;1.2062;1.1456;-75.4965;-85.1859;352.3742;352.5384;277.0061;82.5713;359.6661;359.2946;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.2)_0.9037612_System.String[];HandLeft_(-0.2, -0.3, -0.4)_(-0.6, -0.5, 0.6, 0.3)_0.9574593_System.String[];HandRight_(0.1, -0.4, -0.3)_(0.0, -0.6, -0.5, 0.6)_0.9037612_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.2, -0.5, -0.5, 0.7)_0.9574593_System.String[];0.3584;0.0217;0.0120
0.0000;0.0000;False;False;81.0099;81.0099;-0.0027;-0.0027;-75.1211;-75.1211;359.8683;359.8683;273.4034;273.4034;0.1463;0.1463;0.0029;0.0000;0.0000;-0.0016;-0.0016;0.0029;414305;71.67775;3918.79;80.8394;-87.3229;1.2062;1.1456;-75.4966;-85.1859;352.3742;352.5386;277.0090;82.5697;359.6662;359.2946;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.2)_0.9037612_System.String[];HandLeft_(-0.2, -0.3, -0.4)_(-0.6, -0.5, 0.6, 0.2)_0.9574593_System.String[];HandRight_(0.1, -0.4, -0.3)_(0.0, -0.6, -0.5, 0.6)_0.9037612_System.String[];HandRight_(0.0, -0.3, -0.4)_(0.2, -0.6, -0.4, 0.7)_0.9574593_System.String[];0.4280;0.0217;0.0120
0.0000;0.0000;False;False;81.0101;81.0101;-0.0027;-0.0027;-75.1212;-75.1212;359.8684;359.8684;273.4064;273.4064;0.1463;0.1463;0.0036;0.0000;0.0000;-0.0016;-0.0016;0.0036;414310;71.87319;3918.86;80.8397;-87.3228;1.2062;1.1456;-75.4967;-85.1859;352.3743;352.5385;277.0109;82.5704;359.6662;359.2946;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.2)_0.9037612_System.String[];HandLeft_(-0.2, -0.3, -0.4)_(-0.6, -0.5, 0.6, 0.2)_0.9574593_System.String[];HandRight_(0.1, -0.4, -0.3)_(0.0, -0.7, -0.5, 0.6)_0.9037612_System.String[];HandRight_(0.0, -0.3, -0.4)_(0.2, -0.6, -0.4, 0.7)_0.9574593_System.String[];0.4976;0.0217;0.0120
0.0000;0.0000;False;False;81.0104;81.0104;-0.0027;-0.0027;-75.1213;-75.1213;359.8684;359.8684;273.4086;273.4086;0.1463;0.1463;0.0027;0.0000;0.0000;-0.0016;-0.0016;0.0027;414315;69.70589;3918.93;80.8399;-87.3228;1.2062;1.1456;-75.4968;-85.1859;352.3743;352.5386;277.0138;82.5697;359.6662;359.2946;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.2)_0.9037612_System.String[];HandLeft_(-0.2, -0.3, -0.4)_(-0.6, -0.5, 0.6, 0.2)_0.9574593_System.String[];HandRight_(0.1, -0.4, -0.3)_(0.0, -0.7, -0.5, 0.6)_0.9037612_System.String[];HandRight_(0.0, -0.3, -0.4)_(0.2, -0.6, -0.4, 0.7)_0.9574593_System.String[];0.5693;0.0217;0.0120
0.0012;0.0000;False;False;81.0107;81.0107;-0.0027;-0.0027;-75.1215;-75.1215;359.8680;359.8680;273.4121;273.4121;0.1463;0.1463;0.0054;0.0000;0.0000;-0.0018;-0.0018;0.0054;414319;55.51038;3919.01;80.8402;-87.3228;1.2062;1.1456;-75.4969;-85.1859;352.3739;352.5385;277.0162;82.5688;359.6662;359.2946;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.2)_0.9037612_System.String[];HandLeft_(-0.2, -0.3, -0.4)_(-0.6, -0.5, 0.6, 0.2)_0.9574593_System.String[];HandRight_(0.1, -0.4, -0.3)_(0.0, -0.7, -0.5, 0.6)_0.9037612_System.String[];HandRight_(0.0, -0.3, -0.4)_(0.2, -0.6, -0.4, 0.7)_0.9574593_System.String[];0.6514;0.0193;0.0120
