AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
0.0000;0.2004;False;False;98.1000;54.7020;-0.0139;0.0009;55.4000;-115.2019;0.0019;0.4422;214.6056;305.8757;0.0000;0.2042; ; ; ; ; ; ;180306;71.73788;Infinity;1835.33;98.6626;54.3387;1.2747;1.2178;54.3557;-115.3136;352.6253;352.9847;225.0664;300.9946;358.6424;0.8007;;;HandLeft_(0.5, -0.4, 0.0)_(0.7, 0.6, -0.2, 0.3)_1.020653_System.String[];HandLeft_(-0.2, -0.4, -0.1)_(0.7, 0.5, -0.5, 0.2)_0.8421519_System.String[];HandRight_(0.8, -0.4, -0.1)_(-0.3, 0.2, -0.4, 0.9)_1.020653_System.String[];HandRight_(0.1, -0.4, -0.1)_(-0.2, -0.6, -0.5, 0.6)_0.8421519_System.String[];0.0000;-0.0139;0.0229;98.3447;54.2762;1.1280;1.0994;54.9980;-115.3390;349.6839;352.1082;222.3526;312.9089;357.7224;358.1951
0.0000;0.2089;False;False;98.1000;54.7015;-0.0139;0.0009;55.4000;-115.2016;0.0016;0.4398;214.6063;305.8759;0.0000;0.2038;-0.0185;-0.0002;-0.0004;0.0004;0.0127;0.0002;180309;68.36423;Infinity;1835.38;98.6626;54.3385;1.2747;1.2178;54.3557;-115.3134;352.6249;352.9832;225.0665;300.9941;358.6424;0.8006;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.4, 0.0)_(0.8, 0.6, -0.2, 0.3)_1.020653_System.String[];HandLeft_(-0.2, -0.4, -0.1)_(0.7, 0.5, -0.6, 0.2)_0.8421519_System.String[];HandRight_(0.8, -0.4, -0.1)_(-0.3, 0.2, -0.4, 0.9)_1.020653_System.String[];HandRight_(0.1, -0.4, -0.1)_(-0.2, -0.6, -0.5, 0.6)_0.8421519_System.String[];0.0472;-0.0140;0.0229;98.3437;54.2771;1.1281;1.0992;54.9992;-115.3394;349.6257;352.1103;222.9096;313.4063;357.6493;358.1672
0.0000;0.2221;False;False;98.1000;54.7002;-0.0139;0.0008;55.4000;-115.2006;0.0013;0.4358;214.6060;305.8773;0.0000;0.2037;-0.0364;-0.0002;-0.0006;-0.0011;0.0257;-0.0007;180312;70.1022;Infinity;1835.42;98.6626;54.3375;1.2747;1.2178;54.3557;-115.3127;352.6248;352.9796;225.0667;300.9960;358.6423;0.8007;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.4, 0.0)_(0.7, 0.6, -0.2, 0.2)_1.020653_System.String[];HandLeft_(-0.2, -0.4, -0.1)_(0.7, 0.5, -0.6, 0.1)_0.8421519_System.String[];HandRight_(0.8, -0.4, -0.1)_(-0.2, 0.3, -0.4, 0.8)_1.020653_System.String[];HandRight_(0.1, -0.4, -0.1)_(-0.2, -0.6, -0.5, 0.6)_0.8421519_System.String[];0.0889;-0.0147;0.0229;98.3428;54.2769;1.1284;1.0990;55.0003;-115.3391;349.5699;352.1091;223.4306;313.8624;357.5313;358.1407
0.0000;0.2428;False;False;98.1000;54.6980;-0.0139;0.0008;55.4000;-115.1991;0.0013;0.4310;214.6060;305.8780;0.0000;0.2037;-0.0660;-0.0002;-0.0009;0.0001;0.0475;0.0001;180315;71.00928;Infinity;1835.46;98.6626;54.3356;1.2747;1.2178;54.3557;-115.3114;352.6246;352.9750;225.0666;300.9968;358.6423;0.8011;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.4, 0.0)_(0.7, 0.6, -0.2, 0.3)_1.020653_System.String[];HandLeft_(-0.2, -0.4, -0.1)_(0.7, 0.5, -0.5, 0.1)_0.8421519_System.String[];HandRight_(0.8, -0.4, -0.2)_(-0.2, 0.3, -0.4, 0.8)_1.020653_System.String[];HandRight_(0.1, -0.4, -0.1)_(-0.2, -0.6, -0.5, 0.6)_0.8421519_System.String[];0.1306;-0.0157;0.0229;98.3418;54.2763;1.1286;1.0989;55.0015;-115.3381;349.5088;352.0934;223.9393;314.3853;357.3659;358.1071
0.0000;0.2701;False;False;98.1000;54.6949;-0.0139;0.0008;55.4000;-115.1969;0.0011;0.4259;214.6074;305.8776;0.0000;0.2038;-0.0883;-0.0001;-0.0011;-0.0009;0.0639;-0.0006;180318;71.14484;Infinity;1835.50;98.6626;54.3330;1.2747;1.2178;54.3557;-115.3095;352.6244;352.9700;225.0678;300.9964;358.6422;0.8016;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.4, 0.0)_(0.7, 0.6, -0.2, 0.2)_1.020653_System.String[];HandLeft_(-0.2, -0.4, -0.1)_(0.7, 0.5, -0.5, 0.2)_0.8421519_System.String[];HandRight_(0.8, -0.4, -0.2)_(-0.2, 0.3, -0.4, 0.8)_1.020653_System.String[];HandRight_(0.1, -0.4, -0.1)_(-0.2, -0.6, -0.5, 0.6)_0.8421519_System.String[];0.1726;-0.0169;0.0229;98.3407;54.2749;1.1289;1.0990;55.0026;-115.3366;349.4679;352.0007;224.4201;315.0290;357.1526;358.0764
0.0000;0.2988;False;False;98.1000;54.6908;-0.0139;0.0007;55.4000;-115.1939;0.0009;0.4205;214.6076;305.8792;0.0000;0.2040;-0.1102;-0.0001;-0.0013;-0.0010;0.0801;-0.0007;180321;71.30066;Infinity;1835.55;98.6626;54.3293;1.2747;1.2178;54.3557;-115.3069;352.6242;352.9647;225.0680;300.9974;358.6422;0.8022;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.4, 0.0)_(0.7, 0.6, -0.2, 0.3)_1.020653_System.String[];HandLeft_(-0.2, -0.4, -0.1)_(0.7, 0.5, -0.5, 0.2)_0.8421519_System.String[];HandRight_(0.8, -0.4, -0.2)_(-0.2, 0.3, -0.4, 0.8)_1.020653_System.String[];HandRight_(0.1, -0.4, -0.1)_(-0.2, -0.6, -0.5, 0.6)_0.8421519_System.String[];0.2146;-0.0183;0.0229;98.3396;54.2725;1.1294;1.0991;55.0034;-115.3341;349.4485;351.8104;224.8282;315.7808;356.9355;358.0287
0.0000;0.3251;False;False;98.1000;54.6856;-0.0139;0.0007;55.4000;-115.1901;0.0006;0.4151;214.6077;305.8815;0.0000;0.2041;-0.1384;-0.0001;-0.0015;0.0003;0.1008;0.0002;180324;71.03395;Infinity;1835.59;98.6625;54.3246;1.2747;1.2177;54.3557;-115.3034;352.6239;352.9594;225.0688;300.9994;358.6422;0.8028;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.4, 0.0)_(0.7, 0.6, -0.2, 0.3)_1.020653_System.String[];HandLeft_(-0.2, -0.4, -0.1)_(0.7, 0.5, -0.5, 0.2)_0.8421519_System.String[];HandRight_(0.8, -0.4, -0.2)_(-0.2, 0.3, -0.4, 0.8)_1.020653_System.String[];HandRight_(0.1, -0.4, -0.1)_(-0.2, -0.6, -0.5, 0.6)_0.8421519_System.String[];0.2571;-0.0195;0.0229;98.3385;54.2692;1.1297;1.0993;55.0041;-115.3306;349.4256;351.5110;225.1999;316.8077;356.7078;357.9310
0.0000;0.3445;False;False;98.1000;54.6793;-0.0139;0.0006;55.3999;-115.1855;0.0006;0.4096;214.6077;305.8844;0.0000;0.2043;-0.1642;-0.0001;-0.0017;-0.0009;0.1198;-0.0006;180327;71.05003;Infinity;1835.63;98.6625;54.3187;1.2747;1.2177;54.3557;-115.2991;352.6239;352.9539;225.0681;301.0020;358.6422;0.8035;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.4, 0.0)_(0.7, 0.6, -0.2, 0.3)_1.020653_System.String[];HandLeft_(-0.2, -0.4, -0.1)_(0.7, 0.5, -0.5, 0.2)_0.8421519_System.String[];HandRight_(0.8, -0.4, -0.2)_(-0.2, 0.3, -0.4, 0.8)_1.020653_System.String[];HandRight_(0.1, -0.4, -0.1)_(-0.2, -0.6, -0.5, 0.6)_0.8421519_System.String[];0.2993;-0.0195;0.0229;98.3373;54.2650;1.1299;1.0995;55.0046;-115.3262;349.4342;351.2102;225.5434;317.9788;356.4310;357.7907
0.0000;0.3587;False;False;98.0999;54.6718;-0.0139;0.0005;55.3999;-115.1800;0.0004;0.4046;214.6084;305.8879;0.0000;0.2045;-0.1935;0.0000;-0.0020;-0.0010;0.1414;-0.0006;180330;71.44507;Infinity;1835.67;98.6625;54.3117;1.2747;1.2176;54.3556;-115.2940;352.6237;352.9489;225.0689;301.0052;358.6421;0.8041;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.4, 0.0)_(0.7, 0.6, -0.3, 0.3)_1.020653_System.String[];HandLeft_(-0.2, -0.4, -0.1)_(0.7, 0.5, -0.5, 0.2)_0.8421519_System.String[];HandRight_(0.8, -0.4, -0.2)_(-0.2, 0.3, -0.4, 0.8)_1.020653_System.String[];HandRight_(0.1, -0.4, -0.1)_(-0.2, -0.6, -0.5, 0.6)_0.8421519_System.String[];0.3411;-0.0195;0.0229;98.3361;54.2598;1.1301;1.0999;55.0048;-115.3209;349.4963;350.9014;225.9201;319.2083;356.1037;357.6295
0.0000;0.3672;False;False;98.0999;54.6630;-0.0139;0.0004;55.3999;-115.1736;0.0005;0.3998;214.6096;305.8919;0.0000;0.2047;-0.2226;0.0000;-0.0022;0.0007;0.1629;0.0005;180333;71.55091;Infinity;1835.71;98.6625;54.3034;1.2747;1.2176;54.3556;-115.2880;352.6237;352.9439;225.0699;301.0090;358.6421;0.8047;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.4, 0.0)_(0.7, 0.6, -0.3, 0.3)_1.020653_System.String[];HandLeft_(-0.2, -0.4, -0.1)_(0.6, 0.5, -0.5, 0.2)_0.8421519_System.String[];HandRight_(0.8, -0.4, -0.2)_(-0.2, 0.3, -0.4, 0.8)_1.020653_System.String[];HandRight_(0.1, -0.4, -0.1)_(-0.2, -0.6, -0.5, 0.6)_0.8421519_System.String[];0.3829;-0.0203;0.0229;98.3350;54.2535;1.1301;1.1002;55.0048;-115.3144;349.6181;350.5692;226.2743;320.5710;355.8984;357.4520
